model,path,num_heads,test_acc,correct,wrong,wrong_examples,params
Transformer_d64_ff128,results\model_Transformer_d64_ff128.pt,2,0.7111,64,26,"[1, 5, 6, 9, 13, 14, 15, 19, 23, 27]",40131
Transformer_d128_ff256,results\model_Transformer_d128_ff256.pt,1,0.9778,88,2,"[10, 43]",129283
